"Last Name","First Name","Title","Middle Name","Nickname","Name Suffix","District","Party","Rm. Number","Office Building","Office Address","City","State","Zipcode","Area Code","Office Phone"
"Goodwin","Barb ","Senator","","","","41","DFL","124","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4334"
"Hall","Dan D.","Senator","","","","56","R","103","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-5975"
"Hann","David W.","Senator","","","","48","R","147","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-1749"
"Hawj","Foung","Senator","","","","67","DFL","G-24","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-5285"
"Hayden","Jeff","Senator","","","","62","DFL","208","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4261"
"Hoffman","John A.","Senator","","","","36","DFL","G-24","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4154"
"Housley","Karin","Senator","","","","39","R","21","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-4351"
"Ingebrigtsen","Bill","Senator","","","","08","R","143","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","297-8063"
"Jensen","Vicki","Senator","","","","24","DFL","G-24","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-9457"
"Johnson","Alice M.","Senator","","","","37","DFL","205","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-2556"
"Kent","Susan","Senator","","","","53","DFL","205","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4166"
"Kiffmeyer","Mary","Senator","","","","30","R","123","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-5655"
"Koenen","Lyle","Senator","","","","17","DFL","124","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-5094"
"Latz","Ron","Senator","","","","46","DFL","303","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","297-8065"
"Limmer","Warren","Senator","","","","34","R","153","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-2159"
"Lourey","Tony","Senator","","","","11","DFL","120","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-0293"
"Marty","John","Senator","","","","66","DFL","323","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-5645"
"Metzen","James P.","Senator","","","","52","DFL","322","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4370"
"Miller","Jeremy R.","Senator","","","","28","R","135","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-5649"
"Nelson","Carla J.","Senator","","","","26","R","117","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-4848"
"Newman","Scott J. ","Senator","","","","18","R","141","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-4131"
"Nienow","Sean R.","Senator","","","","32","R","105","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-5419"
"Ortman","Julianne E.","Senator","","","","47","R","119","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-4837"
"Osmek","David J.","Senator","","","","33","R","19","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-1282"
"Pappas","Sandra L.","Senator","","","","65","DFL","120","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-1802"
"Pederson","John C.","Senator","","","","14","R","27","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-6455"
"Petersen","Branden","Senator","","","","35","R","127","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-3733"
"Pratt","Eric R.","Senator","","","","55","R","23","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-4123"
"Reinert","Roger J.","Senator","","","","07","DFL","325","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4188"
"Rest","Ann H.","Senator","","","","45","DFL","235","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-2889"
"Rosen","Julie A.","Senator","","","","23","R","139","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-5713"
"Ruud","Carrie","Senator","","","","10","R","25","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-4913"
"Saxhaug","Tom","Senator","","","","05","DFL","328","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4136"
"Scalze","Bev","Senator","","","","42","DFL","124","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-5537"
"Schmit","Matt","Senator","","","","21","DFL","G-24","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4264"
"Senjem","David H.","Senator","","","","25","R","113","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-3903"
"Sheran","Kathy","Senator","","","","19","DFL","120","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-6153"
"Sieben","Katie","Senator","","","","54","DFL","208","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","297-8060"
"Skoe","Rod","Senator","","","","02","DFL","235","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4196"
"Sparks","Dan","Senator","","","","27","DFL","328","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-9248"
"Stumpf","LeRoy A.","Senator","","","","01","DFL","122","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-8660"
"Thompson","Dave","Senator","","","","58","R","131","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-5252"
"Tomassoni","David J.","Senator","","","","06","DFL","317","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-8017"
"Torres Ray","Patricia","Senator","","","","63","DFL","309","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4274"
"Weber","Bill","Senator","","","","22","R","125","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-5650"
"Westrom","Torrey N.","Senator","","","","12","R","107","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-3826"
"Wiger","Charles W.","Senator","","Chuck","","43","DFL","205","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-6820"
"Wiklund","Melissa H.","Senator","","","","50","DFL","303","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","297-8061"
 
